POLLINATOR_NAME,PLANT_NAME,Group
Andrena coitana,Rubus spectabilis,Bee
Andrena congruens,Daucus carota,Bee
Andrena congruens,Heracleum sphondylium,Bee
Andrena denticulata,Achillea millefolium,Bee
Andrena denticulata,Cirsium acaule,Bee
Andrena denticulata,Cirsium arvense,Bee
Andrena denticulata,Cirsium dissectum,Bee
Andrena denticulata,Cirsium eriophorum,Bee
Andrena denticulata,Cirsium heterophyllum,Bee
Andrena denticulata,Cirsium palustre,Bee
Andrena denticulata,Cirsium tuberosum,Bee
Andrena denticulata,Cirsium vulgare,Bee
Andrena denticulata,Crepis biennis,Bee
Andrena denticulata,Crepis capillaris,Bee
Andrena denticulata,Crepis vesicaria,Bee
Andrena denticulata,Heracleum mantegazzianum,Bee
Andrena denticulata,Heracleum sphondylium,Bee
Andrena denticulata,Inula conyzae,Bee
Andrena denticulata,Inula crithmoides,Bee
Andrena denticulata,Inula helenium,Bee
Andrena denticulata,Jasione montana,Bee
Andrena denticulata,Pulicaria dysenterica,Bee
Andrena denticulata,Senecio aquaticus,Bee
Andrena denticulata,Senecio cineraria,Bee
Andrena denticulata,Senecio erucifolius,Bee
Andrena denticulata,Senecio jacobaea,Bee
Andrena denticulata,Senecio squalidus,Bee
Andrena denticulata,Senecio vulgaris,Bee
Andrena denticulata,Solidago canadensis,Bee
Andrena denticulata,Solidago virgaurea,Bee
Andrena denticulata,Tripleurospermum inodorum,Bee
Andrena dorsata,Acer campestre,Bee
Andrena dorsata,Acer pseudoplatanus,Bee
Andrena dorsata,Allium schoenoprasum,Bee
Andrena dorsata,Allium sphaerocephalon,Bee
Andrena dorsata,Allium triquetrum,Bee
Andrena dorsata,Allium ursinum,Bee
Andrena dorsata,Angelica sylvestris,Bee
Andrena dorsata,Bryonia dioica,Bee
Andrena dorsata,Calluna vulgaris,Bee
Andrena dorsata,Cerastium fontanum,Bee
Andrena dorsata,Cirsium arvense,Bee
Andrena dorsata,Crataegus monogyna,Bee
Andrena dorsata,Daucus carota,Bee
Andrena dorsata,Eryngium maritimum,Bee
Andrena dorsata,Foeniculum vulgare,Bee
Andrena dorsata,Geranium dissectum,Bee
Andrena dorsata,Geranium endressii,Bee
Andrena dorsata,Geranium molle,Bee
Andrena dorsata,Geranium phaeum,Bee
Andrena dorsata,Geranium pratense,Bee
Andrena dorsata,Geranium pyrenaicum,Bee
Andrena dorsata,Geranium robertianum,Bee
Andrena dorsata,Geranium sanguineum,Bee
Andrena dorsata,Geranium sylvaticum,Bee
Andrena dorsata,Heracleum sphondylium,Bee
Andrena dorsata,Hypericum perforatum,Bee
Andrena dorsata,Knautia arvensis,Bee
Andrena dorsata,Laurus nobilis,Bee
Andrena dorsata,Leucanthemum vulgare,Bee
Andrena dorsata,Limonium binervosum,Bee
Andrena dorsata,Limonium vulgare,Bee
Andrena dorsata,Lotus pedunculatus,Bee
Andrena dorsata,Pastinaca sativa,Bee
Andrena dorsata,Persicaria maculosa,Bee
Andrena dorsata,Petroselinum crispum,Bee
Andrena dorsata,Peucedanum officinale,Bee
Andrena dorsata,Peucedanum palustre,Bee
Andrena dorsata,Pimpinella saxifraga,Bee
Andrena dorsata,Potentilla erecta,Bee
Andrena dorsata,Potentilla reptans,Bee
Andrena dorsata,Prunus avium,Bee
Andrena dorsata,Prunus cerasifera,Bee
Andrena dorsata,Prunus cerasus,Bee
Andrena dorsata,Prunus domestica,Bee
Andrena dorsata,Prunus laurocerasus,Bee
Andrena dorsata,Prunus padus,Bee
Andrena dorsata,Prunus spinosa,Bee
Andrena dorsata,Raphanus raphanistrum,Bee
Andrena dorsata,Reseda lutea,Bee
Andrena dorsata,Rhododendron ponticum,Bee
Andrena dorsata,Rubus caesius,Bee
Andrena dorsata,Rubus fruticosus,Bee
Andrena dorsata,Rubus idaeus,Bee
Andrena dorsata,Rubus spectabilis,Bee
Andrena dorsata,Salix alba,Bee
Andrena dorsata,Salix aurita,Bee
Andrena dorsata,Salix caprea,Bee
Andrena dorsata,Salix cinerea,Bee
Andrena dorsata,Salix fragilis,Bee
Andrena dorsata,Salix pentandra,Bee
Andrena dorsata,Salix repens,Bee
Andrena dorsata,Salix viminalis,Bee
Andrena dorsata,Senecio aquaticus,Bee
Andrena dorsata,Senecio cineraria,Bee
Andrena dorsata,Senecio erucifolius,Bee
Andrena dorsata,Senecio jacobaea,Bee
Andrena dorsata,Senecio squalidus,Bee
Andrena dorsata,Senecio vulgaris,Bee
Andrena dorsata,Smyrnium olusatrum,Bee
Andrena dorsata,Stellaria holostea,Bee
Andrena dorsata,Symphytum asperum x officinale = S. x uplandicum,Bee
Andrena dorsata,Symphytum officinale,Bee
Andrena dorsata,Thymus polytrichus,Bee
Andrena dorsata,Thymus pulegioides,Bee
Andrena dorsata,Thymus serpyllum,Bee
Andrena dorsata,Torilis japonica,Bee
Andrena dorsata,Trifolium repens,Bee
Andrena dorsata,Ulex europaeus,Bee
Andrena dorsata,Ulex gallii,Bee
Andrena dorsata,Ulex minor,Bee
Andrena dorsata,Verbascum nigrum,Bee
Andrena dorsata,Veronica chamaedrys,Bee
Andrena falsifica,Ficaria verna,Bee
Andrena falsifica,Potentilla erecta,Bee
Andrena ferox,Acer campestre,Bee
Andrena ferox,Acer pseudoplatanus,Bee
Andrena ferox,Crataegus monogyna,Bee
Andrena flavipes,Achillea millefolium,Bee
Andrena flavipes,Achillea ptarmica,Bee
Andrena flavipes,Alliaria petiolata,Bee
Andrena flavipes,Angelica sylvestris,Bee
Andrena flavipes,Armeria maritima,Bee
Andrena flavipes,Barbarea vulgaris,Bee
Andrena flavipes,Bellis perennis,Bee
Andrena flavipes,Blackstonia perfoliata,Bee
Andrena flavipes,Brassica nigra,Bee
Andrena flavipes,Cakile maritima,Bee
Andrena flavipes,Centaurea cyanus,Bee
Andrena flavipes,Centaurea nigra,Bee
Andrena flavipes,Centaurea scabiosa,Bee
Andrena flavipes,Cirsium acaule,Bee
Andrena flavipes,Cirsium arvense,Bee
Andrena flavipes,Cirsium dissectum,Bee
Andrena flavipes,Cirsium eriophorum,Bee
Andrena flavipes,Cirsium heterophyllum,Bee
Andrena flavipes,Cirsium palustre,Bee
Andrena flavipes,Cirsium tuberosum,Bee
Andrena flavipes,Cirsium vulgare,Bee
Andrena flavipes,Conium maculatum,Bee
Andrena flavipes,Cotoneaster bullatus,Bee
Andrena flavipes,Cotoneaster horizontalis,Bee
Andrena flavipes,Cotoneaster simonsii,Bee
Andrena flavipes,Crataegus monogyna,Bee
Andrena flavipes,Daucus carota,Bee
Andrena flavipes,Echium plantagineum,Bee
Andrena flavipes,Echium vulgare,Bee
Andrena flavipes,Eryngium maritimum,Bee
Andrena flavipes,Euphorbia amygdaloides,Bee
Andrena flavipes,Euphorbia hyberna,Bee
Andrena flavipes,Euphorbia paralias,Bee
Andrena flavipes,Euphorbia portlandica,Bee
Andrena flavipes,Filipendula vulgaris,Bee
Andrena flavipes,Foeniculum vulgare,Bee
Andrena flavipes,Hedera helix,Bee
Andrena flavipes,Helminthotheca echioides,Bee
Andrena flavipes,Heracleum sphondylium,Bee
Andrena flavipes,Hyacinthoides non-scripta,Bee
Andrena flavipes,Inula conyzae,Bee
Andrena flavipes,Inula crithmoides,Bee
Andrena flavipes,Inula helenium,Bee
Andrena flavipes,Knautia arvensis,Bee
Andrena flavipes,Lepidium draba,Bee
Andrena flavipes,Leucanthemum vulgare,Bee
Andrena flavipes,Limonium binervosum,Bee
Andrena flavipes,Limonium vulgare,Bee
Andrena flavipes,Lotus corniculatus,Bee
Andrena flavipes,Medicago sativa,Bee
Andrena flavipes,Melilotus officinalis,Bee
Andrena flavipes,Myosotis arvensis,Bee
Andrena flavipes,Myosotis scorpioides,Bee
Andrena flavipes,Nepeta cataria,Bee
Andrena flavipes,Oenanthe crocata,Bee
Andrena flavipes,Origanum vulgare,Bee
Andrena flavipes,Prunus avium,Bee
Andrena flavipes,Prunus cerasifera,Bee
Andrena flavipes,Prunus cerasus,Bee
Andrena flavipes,Prunus domestica,Bee
Andrena flavipes,Prunus laurocerasus,Bee
Andrena flavipes,Prunus padus,Bee
Andrena flavipes,Prunus spinosa,Bee
Andrena flavipes,Pulicaria dysenterica,Bee
Andrena flavipes,Ranunculus repens,Bee
Andrena flavipes,Reseda lutea,Bee
Andrena flavipes,Rubus fruticosus,Bee
Andrena flavipes,Salix alba,Bee
Andrena flavipes,Salix aurita,Bee
Andrena flavipes,Salix caprea,Bee
Andrena flavipes,Salix cinerea,Bee
